attn_scale: 0.1, hopf_scale: 0.06
0.1, 0.06
epoch 17600 | force_w 0.000 | train loss   0.2148 | valid acc 0.9615 | 0.154s / epoch | 
epoch 17700 | force_w 0.000 | train loss   0.2035 | valid acc 0.8654 | 0.156s / epoch | 
epoch 17800 | force_w 0.000 | train loss   0.2151 | valid acc 0.9615 | 0.157s / epoch | 
epoch 17900 | force_w 0.000 | train loss   0.2035 | valid acc 0.8654 | 0.154s / epoch | 
epoch 18000 | force_w 0.000 | train loss   0.2131 | valid acc 0.9615 | 0.155s / epoch | 
epoch 18100 | force_w 0.000 | train loss   0.2041 | valid acc 0.8654 | 0.155s / epoch | 
epoch 18200 | force_w 0.000 | train loss   0.2142 | valid acc 0.9615 | 0.155s / epoch | 
epoch 18300 | force_w 0.000 | train loss   0.2033 | valid acc 0.8654 | 0.152s / epoch | 
epoch 18400 | force_w 0.000 | train loss   0.2127 | valid acc 0.9615 | 0.153s / epoch | 
epoch 18500 | force_w 0.000 | train loss   0.2023 | valid acc 0.8654 | 0.154s / epoch | 
epoch 18600 | force_w 0.000 | train loss   0.2135 | valid acc 0.9615 | 0.152s / epoch | 
epoch 18700 | force_w 0.000 | train loss   0.2019 | valid acc 0.8462 | 0.154s / epoch | 
epoch 18800 | force_w 0.000 | train loss   0.2118 | valid acc 0.9615 | 0.154s / epoch | 
epoch 18900 | force_w 0.000 | train loss   0.2036 | valid acc 0.8654 | 0.158s / epoch | 
epoch 19000 | force_w 0.000 | train loss   0.2118 | valid acc 0.9615 | 0.155s / epoch | 
epoch 19100 | force_w 0.000 | train loss   0.2011 | valid acc 0.8462 | 0.154s / epoch | 
epoch 19200 | force_w 0.000 | train loss   0.2103 | valid acc 0.9615 | 0.157s / epoch | 
epoch 19300 | force_w 0.000 | train loss   0.2041 | valid acc 0.8654 | 0.154s / epoch | 
epoch 19400 | force_w 0.000 | train loss   0.2078 | valid acc 0.9615 | 0.154s / epoch | 
epoch 19500 | force_w 0.000 | train loss   0.1987 | valid acc 0.8462 | 0.155s / epoch | 
epoch 19600 | force_w 0.000 | train loss   0.2036 | valid acc 0.9615 | 0.155s / epoch | 
epoch 19700 | force_w 0.000 | train loss   0.1965 | valid acc 0.8462 | 0.157s / epoch | 
epoch 19800 | force_w 0.000 | train loss   0.2065 | valid acc 0.9615 | 0.155s / epoch | 
epoch 19900 | force_w 0.000 | train loss   0.2032 | valid acc 0.8654 | 0.155s / epoch | 
epoch 20000 | force_w 0.000 | train loss   0.2033 | valid acc 0.9615 | 0.155s / epoch | 
epoch 20100 | force_w 0.000 | train loss   0.1974 | valid acc 0.8462 | 0.155s / epoch | 
epoch 20200 | force_w 0.000 | train loss   0.2088 | valid acc 0.9615 | 0.155s / epoch | 
epoch 20300 | force_w 0.000 | train loss   0.2031 | valid acc 0.8654 | 0.155s / epoch | 
epoch 20400 | force_w 0.000 | train loss   0.2064 | valid acc 0.9615 | 0.157s / epoch | 
epoch 20500 | force_w 0.000 | train loss   0.1951 | valid acc 0.8462 | 0.155s / epoch | 
epoch 20600 | force_w 0.000 | train loss   0.2058 | valid acc 0.9615 | 0.153s / epoch | 
epoch 20700 | force_w 0.000 | train loss   0.2099 | valid acc 0.8654 | 0.155s / epoch | 
epoch 20800 | force_w 0.000 | train loss   0.2119 | valid acc 0.9615 | 0.154s / epoch | 
epoch 20900 | force_w 0.000 | train loss   0.2132 | valid acc 0.8654 | 0.157s / epoch | 
epoch 21000 | force_w 0.000 | train loss   0.2027 | valid acc 0.9615 | 0.156s / epoch | 
epoch 21100 | force_w 0.000 | train loss   0.1980 | valid acc 0.8462 | 0.156s / epoch | 
epoch 21200 | force_w 0.000 | train loss   0.1964 | valid acc 0.9615 | 0.156s / epoch | 
