attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch 22100 | force_w 0.000 | train loss   0.1865 | valid acc 0.9615 | 0.065s / epoch | 
epoch 22200 | force_w 0.000 | train loss   0.1848 | valid acc 0.9615 | 0.066s / epoch | 
epoch 22300 | force_w 0.000 | train loss   0.2002 | valid acc 0.9615 | 0.067s / epoch | 
epoch 22400 | force_w 0.000 | train loss   0.1818 | valid acc 0.9615 | 0.066s / epoch | 
epoch 22500 | force_w 0.000 | train loss   0.1841 | valid acc 0.9615 | 0.065s / epoch | 
epoch 22600 | force_w 0.000 | train loss   0.1995 | valid acc 0.9615 | 0.067s / epoch | 
epoch 22700 | force_w 0.000 | train loss   0.1815 | valid acc 0.9615 | 0.065s / epoch | 
epoch 22800 | force_w 0.000 | train loss   0.1840 | valid acc 0.9615 | 0.067s / epoch | 
epoch 22900 | force_w 0.000 | train loss   0.1982 | valid acc 0.9615 | 0.066s / epoch | 
epoch 23000 | force_w 0.000 | train loss   0.1813 | valid acc 0.9615 | 0.067s / epoch | 
epoch 23100 | force_w 0.000 | train loss   0.1840 | valid acc 0.9615 | 0.067s / epoch | 
epoch 23200 | force_w 0.000 | train loss   0.1970 | valid acc 0.9615 | 0.066s / epoch | 
epoch 23300 | force_w 0.000 | train loss   0.1816 | valid acc 0.9615 | 0.067s / epoch | 
epoch 23400 | force_w 0.000 | train loss   0.1858 | valid acc 0.8462 | 0.066s / epoch | 
epoch 23500 | force_w 0.000 | train loss   0.1933 | valid acc 0.9615 | 0.066s / epoch | 
epoch 23600 | force_w 0.000 | train loss   0.1822 | valid acc 0.9615 | 0.066s / epoch | 
epoch 23700 | force_w 0.000 | train loss   0.1881 | valid acc 0.8462 | 0.067s / epoch | 
epoch 23800 | force_w 0.000 | train loss   0.1952 | valid acc 0.9615 | 0.068s / epoch | 
epoch 23900 | force_w 0.000 | train loss   0.1803 | valid acc 0.9615 | 0.067s / epoch | 
epoch 24000 | force_w 0.000 | train loss   0.1886 | valid acc 0.8462 | 0.066s / epoch | 
epoch 24100 | force_w 0.000 | train loss   0.1943 | valid acc 0.9615 | 0.066s / epoch | 
epoch 24200 | force_w 0.000 | train loss   0.1820 | valid acc 0.9615 | 0.065s / epoch | 
epoch 24300 | force_w 0.000 | train loss   0.1897 | valid acc 0.8462 | 0.066s / epoch | 
epoch 24400 | force_w 0.000 | train loss   0.1925 | valid acc 0.9615 | 0.067s / epoch | 
epoch 24500 | force_w 0.000 | train loss   0.1797 | valid acc 0.9615 | 0.066s / epoch | 
epoch 24600 | force_w 0.000 | train loss   0.1815 | valid acc 0.9615 | 0.068s / epoch | 
epoch 24700 | force_w 0.000 | train loss   0.1955 | valid acc 0.9615 | 0.067s / epoch | 
epoch 24800 | force_w 0.000 | train loss   0.1794 | valid acc 0.9615 | 0.065s / epoch | 
epoch 24900 | force_w 0.000 | train loss   0.1817 | valid acc 0.9615 | 0.066s / epoch | 
epoch 25000 | force_w 0.000 | train loss   0.1945 | valid acc 0.9615 | 0.065s / epoch | 
epoch 25100 | force_w 0.000 | train loss   0.1792 | valid acc 0.9615 | 0.066s / epoch | 
epoch 25200 | force_w 0.000 | train loss   0.1814 | valid acc 0.9615 | 0.066s / epoch | 
