attn_scale: 1, hopf_scale: 1
1, 1
Training complete. Model parameters saved to 'data/model.npz'.
attn_scale: 1, hopf_scale: 0.1
1, 0.1
epoch 14400 | force_w 0.000 | train loss   0.1843 | valid acc 0.9615 | 0.064s / epoch | 
epoch 14500 | force_w 0.000 | train loss   0.1840 | valid acc 0.9615 | 0.067s / epoch | 
epoch 14600 | force_w 0.000 | train loss   0.1834 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14700 | force_w 0.000 | train loss   0.1836 | valid acc 0.9615 | 0.066s / epoch | 
epoch 14800 | force_w 0.000 | train loss   0.1825 | valid acc 0.9615 | 0.063s / epoch | 
epoch 14900 | force_w 0.000 | train loss   0.1831 | valid acc 0.9615 | 0.063s / epoch | 
epoch 15000 | force_w 0.000 | train loss   0.1829 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15100 | force_w 0.000 | train loss   0.1830 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15200 | force_w 0.000 | train loss   0.1827 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15300 | force_w 0.000 | train loss   0.1826 | valid acc 0.9615 | 0.065s / epoch | 
epoch 15400 | force_w 0.000 | train loss   0.1828 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15500 | force_w 0.000 | train loss   0.1825 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15600 | force_w 0.000 | train loss   0.1823 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15700 | force_w 0.000 | train loss   0.1824 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15800 | force_w 0.000 | train loss   0.1822 | valid acc 0.9615 | 0.066s / epoch | 
epoch 15900 | force_w 0.000 | train loss   0.1819 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16000 | force_w 0.000 | train loss   0.1821 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16100 | force_w 0.000 | train loss   0.1818 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16200 | force_w 0.000 | train loss   0.1815 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16300 | force_w 0.000 | train loss   0.1816 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16400 | force_w 0.000 | train loss   0.1813 | valid acc 0.9615 | 0.065s / epoch | 
epoch 16500 | force_w 0.000 | train loss   0.1811 | valid acc 0.9615 | 0.064s / epoch | 
epoch 16600 | force_w 0.000 | train loss   0.1813 | valid acc 0.9615 | 0.067s / epoch | 
epoch 16700 | force_w 0.000 | train loss   0.1810 | valid acc 0.9615 | 0.065s / epoch | 
epoch 16800 | force_w 0.000 | train loss   0.1808 | valid acc 0.9615 | 0.066s / epoch | 
epoch 16900 | force_w 0.000 | train loss   0.1809 | valid acc 0.9615 | 0.064s / epoch | 
epoch 17000 | force_w 0.000 | train loss   0.1807 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17100 | force_w 0.000 | train loss   0.1804 | valid acc 0.9615 | 0.064s / epoch | 
epoch 17200 | force_w 0.000 | train loss   0.1805 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17300 | force_w 0.000 | train loss   0.1803 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17400 | force_w 0.000 | train loss   0.1801 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17500 | force_w 0.000 | train loss   0.1800 | valid acc 0.9615 | 0.065s / epoch | 
epoch 17600 | force_w 0.000 | train loss   0.1777 | valid acc 0.9615 | 0.064s / epoch | 
epoch 17700 | force_w 0.000 | train loss   0.1787 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17800 | force_w 0.000 | train loss   0.1773 | valid acc 0.9615 | 0.066s / epoch | 
epoch 17900 | force_w 0.000 | train loss   0.1769 | valid acc 0.9615 | 0.064s / epoch | 
epoch 18000 | force_w 0.000 | train loss   0.1766 | valid acc 0.9615 | 0.065s / epoch | 
epoch 18100 | force_w 0.000 | train loss   0.1794 | valid acc 0.9615 | 0.065s / epoch | 
epoch 18200 | force_w 0.000 | train loss   0.1772 | valid acc 0.9615 | 0.064s / epoch | 
epoch 18300 | force_w 0.000 | train loss   0.1761 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18400 | force_w 0.000 | train loss   0.1761 | valid acc 0.9615 | 0.064s / epoch | 
epoch 18500 | force_w 0.000 | train loss   0.1751 | valid acc 0.9615 | 0.064s / epoch | 
epoch 18600 | force_w 0.000 | train loss   0.1794 | valid acc 0.9615 | 0.065s / epoch | 
epoch 18700 | force_w 0.000 | train loss   0.1768 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18800 | force_w 0.000 | train loss   0.1763 | valid acc 0.9615 | 0.066s / epoch | 
epoch 18900 | force_w 0.000 | train loss   0.1763 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19000 | force_w 0.000 | train loss   0.1754 | valid acc 0.9615 | 0.064s / epoch | 
epoch 19100 | force_w 0.000 | train loss   0.1763 | valid acc 0.9615 | 0.063s / epoch | 
epoch 19200 | force_w 0.000 | train loss   0.1756 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19300 | force_w 0.000 | train loss   0.1761 | valid acc 0.9615 | 0.068s / epoch | 
epoch 19400 | force_w 0.000 | train loss   0.1766 | valid acc 0.9615 | 0.064s / epoch | 
epoch 19500 | force_w 0.000 | train loss   0.1748 | valid acc 0.9615 | 0.067s / epoch | 
epoch 19600 | force_w 0.000 | train loss   0.1755 | valid acc 0.9615 | 0.067s / epoch | 
epoch 19700 | force_w 0.000 | train loss   0.1757 | valid acc 0.9615 | 0.066s / epoch | 
epoch 19800 | force_w 0.000 | train loss   0.1743 | valid acc 0.9615 | 0.065s / epoch | 
epoch 19900 | force_w 0.000 | train loss   0.1763 | valid acc 0.9615 | 0.067s / epoch | 
epoch 20000 | force_w 0.000 | train loss   0.1753 | valid acc 0.9615 | 0.064s / epoch | 
epoch 20100 | force_w 0.000 | train loss   0.1752 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20200 | force_w 0.000 | train loss   0.1757 | valid acc 0.9615 | 0.065s / epoch | 
epoch 20300 | force_w 0.000 | train loss   0.1744 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20400 | force_w 0.000 | train loss   0.1744 | valid acc 0.9615 | 0.065s / epoch | 
epoch 20500 | force_w 0.000 | train loss   0.1732 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20600 | force_w 0.000 | train loss   0.1756 | valid acc 0.9615 | 0.066s / epoch | 
epoch 20700 | force_w 0.000 | train loss   0.1744 | valid acc 0.9615 | 0.066s / epoch | 
